CUSTOMER	ARRIVAL HEADWAY	ARRIVAL TIME	SERVICE TIME	DEPARTURE TIME	DELAY TIME
1	0.0	0.0	1.12	1.12	1.12
2	0.83	0.83	1.0	2.12	1.29
3	4.16	4.99	1.13	6.12	1.13
4	0.16	5.15	1.0	7.12	1.97
5	2.9	8.05	1.03	9.08	1.03
6	0.17	8.22	0.95	10.03	1.81
7	2.63	10.85	0.86	11.71	0.86
8	2.81	13.66	0.79	14.45	0.79
9	0.68	14.34	0.92	15.37	1.03
10	0.81	15.15	0.8	16.17	1.02
11	4.58	19.73	0.95	20.68	0.95
12	0.47	20.2	0.79	21.47	1.27
13	1.42	21.62	1.09	22.71	1.09
14	4.38	26.0	0.9	26.9	0.9
15	0.83	26.83	0.92	27.82	0.99
16	1.92	28.75	0.9	29.65	0.9
17	0.75	29.5	1.08	30.73	1.23
18	0.36	29.86	1.08	31.81	1.95
19	1.88	31.74	0.89	32.7	0.96
20	0.15	31.89	0.97	33.67	1.78
21	2.6	34.49	0.98	35.47	0.98
22	7.08	41.57	1.04	42.61	1.04
23	1.29	42.86	0.94	43.8	0.94
24	0.22	43.08	0.84	44.64	1.56
25	5.16	48.24	1.18	49.42	1.18
26	2.76	51.0	1.22	52.22	1.22
27	4.38	55.38	0.78	56.16	0.78
28	0.42	55.8	1.24	57.4	1.6
29	1.54	57.34	1.01	58.41	1.07
30	4.09	61.43	1.24	62.67	1.24
31	2.88	64.31	1.2	65.51	1.2
32	1.02	65.33	0.91	66.42	1.09
33	0.65	65.98	1.18	67.6	1.62
34	3.48	69.46	1.24	70.7	1.24
35	1.22	70.68	1.01	71.71	1.03
36	0.71	71.39	0.83	72.54	1.15
37	1.01	72.4	1.24	73.78	1.38
38	4.07	76.47	0.79	77.26	0.79
39	3.03	79.5	0.91	80.41	0.91
40	7.19	86.69	1.22	87.91	1.22
41	1.04	87.73	0.75	88.66	0.93
42	0.38	88.11	0.95	89.61	1.5
43	1.29	89.4	0.87	90.48	1.08
44	0.28	89.68	0.91	91.39	1.71
45	0.08	89.76	0.93	92.32	2.56
46	2.59	92.35	1.24	93.59	1.24
47	0.07	92.42	0.95	94.54	2.12
48	0.9	93.32	1.07	95.61	2.29
49	3.58	96.9	0.98	97.88	0.98
50	3.76	100.66	0.79	101.45	0.79
51	0.26	100.92	0.96	102.41	1.49
52	3.6	104.52	1.06	105.58	1.06
53	0.33	104.85	1.23	106.81	1.96
54	0.12	104.97	0.83	107.64	2.67
55	0.54	105.51	1.15	108.79	3.28
56	0.76	106.27	0.96	109.75	3.48
57	0.45	106.72	0.79	110.54	3.82
58	2.48	109.2	1.25	111.79	2.59
59	1.15	110.35	0.75	112.54	2.19
60	1.4	111.75	0.84	113.38	1.63
61	4.42	116.17	0.83	117.0	0.83
62	5.41	121.58	1.03	122.61	1.03
63	0.1	121.68	0.82	123.43	1.75
64	0.29	121.97	1.07	124.5	2.53
65	0.37	122.34	0.97	125.47	3.13
66	0.82	123.16	0.82	126.29	3.13
67	3.79	126.95	0.86	127.81	0.86
68	2.8	129.75	0.78	130.53	0.78
69	0.32	130.07	1.21	131.74	1.67
70	1.99	132.06	1.22	133.28	1.22
71	2.83	134.89	0.84	135.73	0.84
